,season,player_id,player,pos,age,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_percent,x2p_percent,e_fg_percent,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
549,2023,4359,Richaun Holmes,C,29.0,SAC,42,1.0,8.3,1.3,2.1,0.618,0.625,0.617,0.646,0.789,0.7,1.2,1.9,0.2,0.1,0.3,0.3,1.2,3.1
550,2023,4051,Ricky Rubio,PG,32.0,CLE,33,2.0,17.2,1.8,5.4,0.343,0.256,0.417,0.402,0.8,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,5.2
551,2023,4782,RJ Barrett,SG,22.0,NYK,73,73.0,33.9,7.0,16.1,0.434,0.31,0.495,0.485,0.74,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6
552,2023,4197,Robert Covington,PF,32.0,LAC,48,0.0,16.2,2.1,4.8,0.445,0.397,0.516,0.563,0.75,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8,6.0
553,2023,4667,Robert Williams,C,25.0,BOS,35,20.0,23.5,3.6,4.9,0.747,0.0,0.751,0.747,0.61,3.0,5.4,8.3,1.4,0.6,1.4,1.0,1.9,8.0
554,2023,3845,Robin Lopez,C,34.0,CLE,37,2.0,8.1,1.3,2.0,0.64,0.5,0.648,0.653,0.778,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,3.0
555,2023,4443,Rodney McGruder,SG,31.0,DET,32,12.0,16.4,1.9,4.8,0.408,0.423,0.382,0.543,0.818,0.6,1.7,2.3,0.9,0.5,0.0,0.3,1.2,5.7
556,2023,4783,Romeo Langford,SG,23.0,SAS,43,21.0,19.6,2.8,6.0,0.467,0.262,0.53,0.498,0.696,1.3,1.3,2.7,1.2,0.6,0.3,0.7,1.6,6.9
557,2023,5094,Ron Harper Jr.,SF,22.0,TOR,9,0.0,5.3,0.9,1.8,0.5,0.333,0.714,0.594,1.0,0.3,0.4,0.8,0.4,0.0,0.1,0.0,0.3,2.2
558,2023,4560,Royce O'Neale,SF,29.0,BRK,76,53.0,31.7,3.0,7.8,0.386,0.389,0.379,0.524,0.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8
559,2023,3713,Rudy Gay,PF,36.0,UTA,56,0.0,14.6,1.9,5.1,0.38,0.254,0.484,0.437,0.857,0.6,2.3,2.9,1.0,0.3,0.3,0.7,1.2,5.2
560,2023,4199,Rudy Gobert,C,30.0,MIN,70,70.0,30.7,5.1,7.8,0.659,0.0,0.663,0.659,0.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3.0,13.4
561,2023,4784,Rui Hachimura,PF,24.0,TOT,63,9.0,23.3,4.5,9.3,0.486,0.319,0.55,0.53,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2
564,2023,3849,Russell Westbrook,PG,34.0,TOT,73,24.0,29.1,5.9,13.6,0.436,0.311,0.487,0.481,0.656,1.2,4.6,5.8,7.5,1.0,0.5,3.5,2.2,15.9
